step,train,val
50016,5.3262,5.3212
100000,4.9203,4.9813
150016,4.6715,4.6778
200000,4.4759,4.5117
250016,4.2826,4.4123
300000,4.2580,4.3576
350016,4.2979,4.2974
400000,4.0315,4.2407
450016,3.9168,4.2059
500000,4.0042,4.1752
550016,4.1175,4.1460
600000,3.9205,4.1283
650016,4.0020,4.1123
700000,4.0009,4.0942
750016,3.7702,4.0817
800000,3.7728,4.0749
850016,3.8088,4.0660
900000,3.7457,4.0531
950016,3.7085,4.0403
1000000,3.5513,4.0507
1050016,3.7562,4.0528
1100000,3.6077,4.0383
1150016,3.7335,4.0530
1200000,3.4865,4.0650
1250016,3.4773,4.0668
1300000,3.5483,4.0857
1350016,3.4072,4.0915
1400000,3.4779,4.1003
1450016,3.4659,4.1075
1500000,3.1348,4.1543
1550016,3.3066,4.1463
1600000,3.0613,4.1785
1650016,3.1809,4.1722
1700000,3.2718,4.2098
1750016,3.1723,4.2713
1800000,3.2059,4.2839
1850016,3.0839,4.2807
1900000,3.0397,4.3071
1950016,3.0232,4.3809
2000000,2.8210,4.4130
